1, 50, 1400, 500, 7000, A
2, 150, 2100, 750, 8400, B
3, 200, 1750, 840, 7700, C
4, 250, 2800, 1400, 10500, D
5, 300, 1050, 400, 4200, E
6, 350, 2450, 900, 9800, A
7, 400, 1400, 500, 7000, B
8, 450, 2800, 2100, 9100, C
9, 500, 1050, 840, 4900, D
10, 550, 1750, 500, 7700, E
11, 600, 1400, 770, 5600, A
12, 650, 2100, 800, 9800, B
13, 700, 2450, 1330, 11200, C
14, 750, 1400, 450, 6300, D
15, 800, 1750, 770, 8400, E
16, 850, 1400, 500, 7000, A
17, 900, 2100, 1260, 9100, B
18, 950, 1750, 450, 7700, C
19, 1000, 2800, 1750, 10500, D
20, 1050, 1050, 400, 4900, E
21, 1100, 2450, 900, 9800, A
22, 1150, 1400, 500, 7000, B
23, 1200, 2800, 2100, 9100, C
24, 1250, 1050, 500, 5600, D
25, 1300, 1750, 770, 7700, E
26, 1350, 1400, 770, 6300, A
27, 1400, 2100, 1190, 8400, B
28, 1450, 1750, 500, 7700, C
29, 1500, 2800, 900, 10500, D
30, 1550, 1050, 450, 4900, E
31, 1600, 2450, 900, 9800, A
32, 1650, 1400, 500, 7000, B
33, 1700, 2800, 2100, 9100, C
34, 1750, 1050, 500, 5600, D
35, 1800, 1750, 770, 7700, E
36, 1850, 1400, 770, 6300, A
37, 1900, 2100, 1190, 8400, B
38, 1950, 1750, 500, 7700, C
39, 2000, 2800, 900, 10500, D
40, 2050, 1050, 450, 4900, E
41, 2100, 2450, 900, 9800, A
42, 2150, 1400, 500, 7000, B
43, 2200, 2800, 2100, 9100, C
44, 2250, 1050, 500, 5600, D
45, 2300, 1750, 770, 7700, E
46, 2350, 1400, 770, 6300, A
47, 2400, 2100, 1190, 8400, B
48, 2450, 1750, 500, 7700, C
49, 2500, 2800, 900, 10500, D
50, 2550, 1050, 450, 4900, E
